ДГг-1-1    ФГИ/ХОПП1  25 071002-1-2-3I           071002-1-2-3.pli.xml/1/1                          
ДГг-1-2    ФГИ/ХОПП1  25 071002-1-2-3I           071002-1-2-3.pli.xml/1/2                          
ДГг-2-1    ФГИ/ХОПП2  25 071002-1-2-3I           071002-1-2-3.pli.xml/2/1                          
ДГг-2-2    ФГИ/ХОПП2  26 071002-1-2-3I           071002-1-2-3.pli.xml/2/2                          
ДГг-3-1    ФГИ/ХОПП3  25 071002-1-2-3I           071002-1-2-3.pli.xml/3/1                          
ДГг-3-2    ФГИ/ХОПП3  27 071002-1-2-3I           071002-1-2-3.pli.xml/3/2                          
ВГг-1-1    ФГИ/ХОПП1  20 071002-1-2-ВЕЧI         071002-1-2-веч.pli.xml/1/1                        
ВГг-1-2    ФГИ/ХОПП1  20 071002-1-2-ВЕЧI         071002-1-2-веч.pli.xml/1/2                        
ВГг-2-1    ФГИ/ХОПП2  17 071002-1-2-ВЕЧI         071002-1-2-веч.pli.xml/2/1                        
ВГг-2-2    ФГИ/ХОПП2  19 071002-1-2-ВЕЧI         071002-1-2-веч.pli.xml/2/2                        
ДЦуи-5-1   ФИТиМ   5  15 220201-5I               220201-5.pli/5/1                                  
ДЦатБ-1-1  ФИТиМ   1  17 220700-1M               220700-1.plm.xml/1/1                              
ДЦатМ-1-1  ФИТиМ   5  10 220700-5-6M             220700-5-6.plm.xml/5/1                            
ДЦатМ-2-1  ФИТиМ   6  3  220700-5-6M             220700-5-6.plm.xml/6/1                            
ДЦасБ-1-1  ФИТиМ   1  25 230100-1-2-3M           230100-1-2-3.plm.xml/1/1                          
ДЦасБ-2-1  ФИТиМ   2  17 230100-1-2-3M           230100-1-2-3.plm.xml/2/1                          
ДЦасБ-3-1  ФИТиМ   3  17 230100-1-2-3M           230100-1-2-3.plm.xml/3/1                          
ДЦасМ-1-1  ФИТиМ   1  10 230100-5-6M             230100-5-6.plm.xml/1/1                            
ДЦасМ-2-1  ФИТиМ   2  6  230100-5-6M             230100-5-6.plm.xml/2/1                            
ДЦас-5-1   ФИТиМ   5  17 230102-5I               230102-5.pli/5/1                                  
ДЦис-4-1   ФИТиМ   4  17 230201-4I               230201-4.pli/4/1                                  
ДЦис-5-1   ФИТиМ   5  10 230201-5I               230201-5.pli/5/1                                  
ДЦтд-5-1   ФИТиМ   5  27 230203-5I               230203-5.pli/5/1                                  
Цтд-5-1(2воФИТиМ   5  10 230203-5-ВВI            230203-5-вв.pli/5/1                               
ДЦим-5-1   ФИТиМ   5  25 230204-5I               230204-5.pli/5/1                                  
ДЦисМ-1-1  ФИТиМ   5  10 230400-5-6M             230400-5-6.plm.xml/5/1                            
ДЦисМ-2-1  ФИТиМ   6  2  230400-5-6M             230400-5-6.plm.xml/6/1                            
ДЦисБ-1-1  ФИТиМ   1  20 2304001-1-2M            2304001-1-2.plm.xml/1/1                           
ДЦисБ-1-2  ФИТиМ   1  20 2304001-1-2M            2304001-1-2.plm.xml/1/2                           
ДЦисБ-1-3  ФИТиМ   1  20 2304001-1-2M            2304001-1-2.plm.xml/1/3                           
ДЦисБ-2-1  ФИТиМ   2  17 2304001-1-2M            2304001-1-2.plm.xml/2/1                           
ДЦисБ-2-2  ФИТиМ   2  17 2304001-1-2M            2304001-1-2.plm.xml/2/2                           
ДЦисБ-2-3  ФИТиМ   2  17 2304001-1-2M            2304001-1-2.plm.xml/2/3                           
ДЭэБ-4-1   ФЭиМ    4  21 080100-4M               080100-4.plm/4/1                                  
ДЭэМ-1-1   ФЭиМ    5  10 080100-5M               080100-5.plm.xml/5/1                              
ДЭмМ-1-1   ФЭиМ    5  10 080200-5M               080200-5.plm.xml/5/1                              
ДЭмМ-2-1   ФЭиМ    6  9  080200-6M               080200-6.plm.xml/6/1                              
ДЭмБ-4-1   ФЭиМ    4  31 080500-4M               080500-4.plm/4/1                                  
ЗЭэБ-2-1   ФЭиМ    2  8  080100-2Z               080100-2.plz.xml/2/1                              
ЗЭб-4-1    ФЭиМ    4  12 080109-4Z               080109-4.plz/4/1                                  
ЗЭб-5-1    ФЭиМ    5  17 080109-5Z               080109-5.plz/5/1                                  
